Violation,Issue Date,Time,Location,Fine Amount,
01Q,1/1/2015,1300,W UNION ST,30.00,
06A,1/1/2015,1354,41 S COURT ST,30.00,
06A,1/1/2015,1355,S.COURT,30.00,
16,1/1/2015,1916,S COURT ST,30.00,
01N,1/2/2015,2328,N COURT,30.00,
21,1/2/2015,0913,SOUTH COURT,10.00,
21,1/2/2015,0933,SOUTH COLLEGE,10.00,
21,1/2/2015,0943,PARKING GARAGE,10.00,
21,1/2/2015,0944,PARKING GARAGE,10.00,
21,1/2/2015,0946,PARKING GARAGE,10.00,
21,1/2/2015,0948,PARKING GARAGE,10.00,
21,1/2/2015,0949,PARKING GARAGE,10.00,
21,1/2/2015,0950,PARKING GARAGE,10.00,
21,1/2/2015,0951,PARKING GARAGE,10.00,
21,1/2/2015,0956,PARKING GARAGE,10.00,
21,1/2/2015,0958,PARKING GARAGE,10.00,
21,1/2/2015,1000,PARKING GARAGE,10.00,
21,1/2/2015,1028,WEST WASHINGTON,10.00,
21,1/2/2015,1031,WEST WASHINGTON,10.00,
21,1/2/2015,1033,NORTH COURT,10.00,
21,1/2/2015,1040,NORTH COURT,10.00,
07,1/2/2015,1308,EAST WASHINGTON,30.00,
21,1/2/2015,1317,SOUTH COURT,10.00,
,1/2/2015,1324,,0.00,
07,1/2/2015,1324,SOUTH COURT,30.00,
21,1/2/2015,1328,WEST UNION,10.00,
21,1/2/2015,1332,PRESIDENT,10.00,
,1/2/2015,1338,,0.00,
21,1/2/2015,1338,SOUTH COURT,10.00,
,1/2/2015,1339,,0.00,
21,1/2/2015,1345,SOUTH COLLEGE,10.00,
21,1/2/2015,1351,PARKING GARAGE,10.00,
21,1/2/2015,1355,PARKING GARAGE,10.00,
21,1/2/2015,1356,PARKING GARAGE,10.00,
21,1/2/2015,1401,PARKING GARAGE,10.00,
,1/2/2015,1403,,0.00,
21,1/2/2015,1403,PARKING GARAGE,10.00,
21,1/2/2015,1404,PARKING GARAGE,10.00,
21,1/2/2015,1406,PARKING GARAGE,10.00,
21,1/2/2015,1407,PARKING GARAGE,10.00,
21,1/2/2015,1408,PARKING GARAGE,10.00,
21,1/2/2015,1410,PARKING GARAGE,10.00,
,1/2/2015,1412,,0.00,
21,1/2/2015,1412,PARKING GARAGE,10.00,
21,1/2/2015,1420,WEST WASHINGTON,10.00,
21,1/2/2015,1421,WEST WASHINGTON,10.00,
21,1/2/2015,1423,WEST WASHINGTON,10.00,
21,1/2/2015,1427,NORTH COURT,10.00,
,1/2/2015,1432,,0.00,
21,1/2/2015,1432,NORTH COURT,10.00,
21,1/2/2015,1434,WEST STATE,10.00,
21,1/2/2015,1435,WEST STATE,10.00,
21,1/2/2015,1438,NORTH COURT,10.00,
21,1/2/2015,1440,NORTH COURT,10.00,
,1/2/2015,1444,,0.00,
21,1/2/2015,1444,NORTH COURT,10.00,
21,1/2/2015,1459,EAST STATE,10.00,
,1/2/2015,1501,,0.00,
21,1/2/2015,1501,MILL,10.00,
21,1/2/2015,1505,MILL,10.00,
,1/2/2015,1507,,0.00,
21,1/2/2015,1508,NORTH COLLEGE,10.00,
,1/2/2015,1509,,0.00,
01N,1/4/2015,0439,S CONGRESS,30.00,
01N,1/4/2015,0442,W UNION,30.00,
01N,1/4/2015,0445,S COUTR,30.00,
01N,1/4/2015,0447,S COURT,30.00,
01N,1/4/2015,0447,S COURT,30.00,
01N,1/4/2015,0448,S COURT,30.00,
01N,1/4/2015,0453,S COURT,30.00,
01N,1/4/2015,0454,S COURT,30.00,
01N,1/4/2015,0456,N COURT,30.00,
01N,1/4/2015,0457,N COURT,30.00,
01N,1/4/2015,0458,N COURT,30.00,
01N,1/4/2015,0500,N COURT,30.00,
01N,1/4/2015,0501,N COURT,30.00,
01N,1/4/2015,0503,N COURT,30.00,
01N,1/4/2015,0521,W WASHINGTON,30.00,
06B,1/5/2015,2112,W WASHINGTON,30.00,
01N,1/6/2015,1050,1012 COOK DR,30.00,
01N,1/6/2015,1050,1012 COOK DR,30.00,
21,1/6/2015,1409,SOUTH COLLEGE,10.00,
21,1/6/2015,1410,SOUTH COLLEGE,10.00,
21,1/6/2015,1414,SOUTH COURT,10.00,
21,1/6/2015,1416,SOUTH COURT,10.00,
21,1/6/2015,1425,SOUTH COURT,10.00,
21,1/6/2015,1432,WEST UNION,10.00,
21,1/6/2015,1442,PARKING GARAGE,10.00,
21,1/6/2015,1445,PARKING GARAGE,10.00,
21,1/6/2015,1447,PARKING GARAGE,10.00,
21,1/6/2015,1449,PARKING GARAGE,10.00,
21,1/6/2015,1450,PARKING GARAGE,10.00,
21,1/6/2015,1456,PARKING GARAGE,10.00,
21,1/6/2015,1503,PARKING GARAGE,10.00,
21,1/6/2015,1508,PARKING GARAGE,10.00,
21,1/6/2015,1509,PARKING GARAGE,10.00,
01N,1/7/2015,0502,N COURT,30.00,
01N,1/7/2015,0503,N COURT,30.00,
01N,1/7/2015,0504,N COURT,30.00,
01N,1/7/2015,0505,N COURT,30.00,
01N,1/7/2015,0506,N COURT,30.00,
21,1/7/2015,1124,NORTH COURT,10.00,
07,1/8/2015,1650,S CONGRESS,30.00,
07,1/8/2015,1657,S CONGRESS,30.00,
21,1/8/2015,1223,SOUTH COURT,10.00,
21,1/8/2015,1224,SOUTH COURT,10.00,
07,1/8/2015,1227,PRESIDENT,30.00,
01D,1/8/2015,1231,PRESIDENT,30.00,
21,1/8/2015,1235,WEST UNION,10.00,
21,1/8/2015,1244,SOUTH COURT,10.00,
07,1/9/2015,0114,UNION ST,30.00,
21,1/9/2015,1152,SOUTH COLLEGE,10.00,
21,1/9/2015,1154,SOUTH COLLEGE,10.00,
21,1/9/2015,1155,SOUTH COLLEGE,10.00,
21,1/9/2015,1200,SOUTH COURT,10.00,
07,1/9/2015,1203,SOUTH COURT,30.00,
21,1/9/2015,1111,SOUTH COURT,10.00,
21,1/9/2015,1120,SOUTH COURT,10.00,
,1/9/2015,1120,,0.00,
07,1/9/2015,1122,PRESIDENT,30.00,
07,1/9/2015,1129,WEST UNION,30.00,
21,1/9/2015,1134,WEST UNION,10.00,
21,1/9/2015,1137,SOUTH COURT,10.00,
,1/9/2015,1140,,0.00,
21,1/9/2015,1140,SOUTH COURT,10.00,
21,1/9/2015,1142,SOUTH COURT,10.00,
21,1/9/2015,1143,SOUTH COURT,10.00,
,1/9/2015,1603,,0.00,
01D,1/10/2015,1215,W STATE,30.00,
01Q,1/11/2015,0914,135 N CONGRESS,30.00,
01N,1/11/2015,1603,S CONGRESS,30.00,
01N,1/11/2015,1604,S CONGRESS,30.00,
01N,1/11/2015,1605,S CONGRESS,30.00,
21,1/12/2015,1810,PG,10.00,
21,1/12/2015,2002,PG,10.00,
01N,1/12/2015,1126,15 S HIGH,30.00,
01Q,1/12/2015,0753,5 SPRING ST,30.00,
21,1/12/2015,1905,PG,10.00,
21,1/12/2015,1806,PG,10.00,
21,1/12/2015,2007,PG,10.00,
01Q,1/12/2015,2226,E UNION,30.00,
16,1/12/2015,1903,S COURT,30.00,
21,1/13/2015,1807,GARAGE,10.00,
21,1/13/2015,2005,GARAGE,10.00,
21,1/13/2015,1806,GARAGE,10.00,
21,1/13/2015,2005,GARAGE,10.00,
21,1/13/2015,1209,SOUTH COURT,10.00,
21,1/13/2015,1210,SOUTH COURT,10.00,
07,1/13/2015,1211,SOUTH COURT,30.00,
21,1/13/2015,1215,EAST UNION,10.00,
21,1/13/2015,1218,UNIVERSITY TERRACE,10.00,
21,1/13/2015,1220,UNIVERSITY TERRACE,10.00,
21,1/13/2015,1221,UNIVERSITY TERRACE,10.00,
21,1/13/2015,1234,WEST UNION,10.00,
21,1/13/2015,1238,WEST UNION,10.00,
07,1/13/2015,1246,SOUTH COURT,30.00,
21,1/13/2015,1248,SOUTH COURT,10.00,
21,1/13/2015,1034,WEST WASHINGTON,10.00,
21,1/13/2015,1040,WEST STATE,10.00,
21,1/13/2015,1042,WEST STATE,10.00,
21,1/13/2015,1105,NORTH COLLEGE,10.00,
21,1/13/2015,1112,SOUTH COLLEGE,10.00,
21,1/13/2015,1115,SOUTH COLLEGE,10.00,
21,1/13/2015,1402,NORTH COLLEGE,10.00,
21,1/13/2015,1405,SOUTH COLLEGE,10.00,
21,1/13/2015,1407,SOUTH COLLEGE,10.00,
21,1/13/2015,1409,SOUTH COLLEGE,10.00,
21,1/13/2015,1413,SOUTH COLLEGE,10.00,
21,1/13/2015,1416,SOUTH COLLEGE,10.00,
21,1/13/2015,1420,PARKING GARAGE,10.00,
21,1/13/2015,1422,PARKING GARAGE,10.00,
21,1/13/2015,1425,PARKING GARAGE,10.00,
21,1/13/2015,1427,PARKING GARAGE,10.00,
,1/13/2015,1429,,0.00,
,1/13/2015,1430,,0.00,
21,1/13/2015,1431,PARKING GARAGE,10.00,
21,1/13/2015,1438,PARKING GARAGE,10.00,
21,1/13/2015,1439,PARKING GARAGE,10.00,
21,1/13/2015,1440,PARKING GARAGE,10.00,
21,1/13/2015,1446,PARKING GARAGE,10.00,
21,1/13/2015,1449,PARKING GARAGE,10.00,
21,1/13/2015,1451,PARKING GARAGE,10.00,
21,1/13/2015,1452,PARKING GARAGE,10.00,
21,1/13/2015,1512,PARKING GARAGE,10.00,
21,1/13/2015,1512,PARKING GARAGE,10.00,
21,1/13/2015,1515,PARKING GARAGE,10.00,
21,1/13/2015,1515,PARKING GARAGE,10.00,
21,1/13/2015,1517,PARKING GARAGE,10.00,
16,1/14/2015,2050,S COURT ST,30.00,
21,1/14/2015,0932,EAST UNION,10.00,
21,1/14/2015,0938,UNIVERSITY TERRACE,10.00,
21,1/14/2015,0945,MULBERRY,10.00,
21,1/14/2015,0950,SOUTH COURT,10.00,
21,1/14/2015,0954,SOUTH COURT,10.00,
21,1/14/2015,1001,SOUTH COURT,10.00,
21,1/14/2015,1249,SOUTH COLLEGE,10.00,
21,1/14/2015,1252,EAST UNION,10.00,
22B,1/14/2015,1252,EAST UNION,15.00,
07,1/14/2015,1254,EAST UNION,30.00,
21,1/14/2015,1257,EAST UNION,10.00,
21,1/14/2015,1304,UNIVERSITY TERRACE,10.00,
